nose_x,nose_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,left_wrist_x,left_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,left_ankle_x,left_ankle_y
0.452318728,0.03006232,0.542701781,0.119471028,0.484061778,0.134484306,0.535980582,0.278710991,0.473490149,0.419996202,0.592775345,0.364354253,0.544456422,0.367598355,0.590792954,0.574231088,0.5803653,0.766246319
0.445481896,0.050690029,0.536522329,0.144303218,0.470016927,0.147931114,0.530767798,0.308671623,0.474163026,0.44895491,0.594669402,0.373350412,0.545736611,0.368987352,0.592129588,0.577945113,0.580348909,0.766989231
0.43187803,0.086365834,0.531629503,0.161380649,0.463702053,0.173154682,0.527255952,0.329373419,0.480277449,0.468978018,0.597132862,0.380935907,0.546314359,0.370775878,0.59300226,0.581301451,0.580455184,0.769814372
0.426611066,0.09530364,0.525274336,0.170383453,0.459369659,0.187533304,0.524719775,0.339482307,0.487945586,0.478455395,0.600328684,0.383598685,0.548560441,0.373687834,0.59476769,0.578894019,0.579737008,0.769778252
0.419700772,0.10918089,0.522764564,0.183842689,0.45796752,0.195140585,0.524638355,0.352296144,0.494597167,0.490225255,0.603705227,0.385323554,0.551027238,0.373773813,0.59476912,0.576072574,0.578999937,0.769600272
0.412647009,0.12161725,0.524043977,0.191761091,0.455811024,0.204626694,0.525738955,0.355925947,0.500811398,0.495025337,0.609963894,0.384969801,0.55363065,0.374316514,0.59569627,0.572962105,0.578607738,0.766002178
0.409440696,0.140325084,0.522819936,0.198313117,0.453964949,0.218268409,0.527859747,0.363293797,0.513280034,0.502491713,0.611686051,0.384315997,0.554975033,0.376506746,0.588803947,0.560854256,0.576821268,0.761530519
0.404957712,0.149182618,0.521942437,0.203402683,0.452674419,0.223892704,0.528533757,0.366158038,0.517045379,0.510449886,0.615549207,0.383636773,0.557147205,0.377271116,0.585558295,0.560637951,0.573983312,0.761050403
0.402941704,0.158121541,0.521776617,0.209819436,0.44998467,0.23225984,0.531176925,0.369659573,0.523132324,0.512578309,0.617345154,0.383206695,0.557664275,0.377339512,0.582008004,0.555437088,0.571182311,0.760617614
0.402353585,0.164775476,0.521049261,0.211336419,0.448132277,0.233700842,0.531672239,0.368552208,0.525440753,0.513668954,0.616871357,0.376702189,0.558348715,0.376579642,0.567787886,0.542306304,0.567276418,0.757202387
0.402548015,0.16604431,0.521160543,0.215894207,0.446869284,0.237124458,0.534453332,0.373156726,0.530609787,0.51737076,0.618632376,0.376797944,0.558961689,0.376607835,0.570607424,0.547036767,0.567383707,0.757175624
0.403109521,0.168490842,0.521008313,0.218612894,0.44572708,0.236654788,0.535200119,0.374357939,0.531370699,0.520415664,0.618877769,0.376650989,0.559429944,0.376071036,0.572187901,0.549768269,0.567011356,0.757469058
0.403429806,0.166566253,0.521200776,0.21880646,0.444357574,0.235736385,0.535588324,0.374735326,0.531365037,0.521971285,0.619510472,0.375994503,0.5604738,0.375540107,0.569145203,0.550456226,0.566346169,0.756579399
0.403818369,0.164059907,0.521447599,0.217297897,0.444507807,0.235137165,0.535585403,0.373275727,0.531908572,0.521592259,0.620129049,0.374620616,0.561828613,0.375226974,0.566979408,0.551080823,0.565152645,0.755766749
0.404960364,0.158587068,0.521651149,0.214049906,0.44542107,0.232442886,0.535603285,0.372662067,0.530828476,0.519856989,0.621197164,0.372949094,0.562500954,0.375200391,0.563180804,0.550711632,0.565336287,0.755640149
0.405664384,0.156719804,0.524308324,0.212304562,0.446072608,0.230643466,0.534947515,0.373040169,0.526825368,0.517320454,0.621940851,0.372453749,0.562175035,0.375193685,0.564711213,0.545958519,0.565763712,0.755083978
0.40694049,0.148083225,0.527344227,0.211885259,0.446184516,0.225535259,0.533401668,0.371875197,0.512065351,0.515960515,0.62162751,0.372280896,0.561908185,0.375182778,0.561455965,0.541758895,0.567604184,0.755134225
0.409154624,0.136795387,0.529672444,0.208050624,0.446283937,0.222032577,0.53050226,0.371661812,0.495049626,0.514097929,0.621063471,0.372352123,0.561664045,0.377417386,0.552305698,0.530102551,0.56620717,0.754540622
0.40956822,0.130320981,0.52971971,0.201341689,0.446684062,0.216408178,0.526536107,0.369822264,0.483094603,0.512200177,0.619427383,0.372638375,0.561609864,0.378774405,0.541271389,0.526439846,0.554837167,0.751764715
0.409595996,0.124700621,0.529668629,0.196852624,0.44647181,0.213744298,0.523153424,0.365093917,0.477814138,0.508491397,0.615840971,0.37267375,0.559794605,0.380557507,0.533151329,0.525625288,0.538377464,0.748699784
0.409486473,0.120074227,0.529608846,0.193459347,0.443784177,0.211115167,0.519586682,0.36014232,0.475439429,0.502774239,0.61257726,0.372696698,0.554529667,0.38104704,0.535690427,0.528714836,0.537681639,0.749179184
0.408772558,0.109662086,0.52809602,0.188224688,0.438489258,0.204658791,0.51264751,0.353747427,0.468625993,0.490531892,0.607551098,0.37244308,0.545097947,0.38096261,0.544451058,0.543052614,0.547948658,0.753445625
0.407227844,0.102766171,0.5258497,0.182588398,0.433929056,0.201029316,0.5107916,0.345157474,0.467202097,0.483117968,0.602843881,0.372336626,0.539434791,0.380900234,0.545606494,0.55113095,0.549815118,0.757111311
0.404984593,0.095071554,0.522830129,0.179429546,0.430232286,0.196007371,0.510864079,0.34260121,0.465715587,0.480959237,0.599252403,0.372239709,0.5368523,0.380816966,0.547075868,0.556790173,0.553073049,0.759955585
0.399027258,0.086808197,0.515972495,0.166939259,0.422994584,0.189143509,0.507653415,0.336732924,0.46405378,0.478213787,0.591663182,0.369183809,0.529737353,0.380784988,0.529641151,0.554566145,0.500271618,0.767900705
0.394874662,0.080171116,0.512790143,0.160374418,0.416910231,0.189197347,0.506464958,0.331129521,0.465325117,0.476413012,0.584816337,0.365509123,0.524507821,0.381140143,0.516619265,0.547091246,0.487478286,0.770984352
0.385733187,0.070996337,0.508200645,0.152006343,0.408787251,0.187912986,0.506958663,0.328253806,0.468040705,0.471032679,0.580362439,0.365888149,0.512988746,0.381381065,0.535271227,0.548477352,0.561994374,0.769563258
0.380693138,0.061056208,0.504633963,0.143114373,0.400707185,0.186135456,0.507908583,0.317640841,0.469469517,0.468394935,0.571903944,0.366152793,0.504344583,0.381458253,0.529872835,0.548353374,0.547014415,0.7684955
0.377917409,0.058673341,0.500283778,0.139887199,0.394898206,0.181473464,0.506967485,0.314481944,0.472232014,0.46634391,0.56672585,0.366304964,0.500000417,0.381841302,0.529047668,0.549558818,0.518190742,0.77568537
0.371037692,0.047106735,0.496365011,0.133837536,0.388016671,0.172414005,0.505026698,0.310064107,0.481849402,0.460075796,0.559429705,0.365113616,0.493636012,0.381588459,0.521302581,0.547259331,0.521689355,0.774056017
0.367661744,0.02362637,0.493393272,0.12264964,0.383525997,0.166194141,0.50407815,0.297334969,0.489839435,0.448770046,0.549671471,0.365137696,0.479846269,0.3810848,0.525003076,0.555913627,0.548857808,0.76375562
0.366075277,0.01068416,0.490394384,0.116664439,0.381043643,0.161022678,0.502739251,0.290974557,0.493389815,0.443867892,0.546332657,0.365072101,0.478088617,0.380851835,0.53305161,0.562245786,0.556942046,0.758808196
0.369122058,-0.009138052,0.490009964,0.11092633,0.379108489,0.152567834,0.500435591,0.286907256,0.496253371,0.438266039,0.540959954,0.365644991,0.472571164,0.38157174,0.535900712,0.572744131,0.554720402,0.765193582
0.371437758,-0.010348977,0.490040988,0.107575722,0.37927112,0.144323647,0.497174293,0.284363836,0.495595574,0.434218824,0.53604883,0.366331875,0.467309982,0.381637216,0.536044896,0.581417382,0.55257225,0.776673436
0.382101655,-0.025518961,0.489450663,0.103848316,0.379531145,0.142045557,0.491759807,0.277749568,0.489276111,0.431775481,0.528688729,0.366383702,0.462130815,0.383126885,0.533098876,0.576693118,0.541765451,0.788235843
0.388610989,-0.035348307,0.488969386,0.101452969,0.377951592,0.140633464,0.485713214,0.276741683,0.478891701,0.430433184,0.520825148,0.366401196,0.459778935,0.383624226,0.516556084,0.574689388,0.531499267,0.793051422
0.397446513,-0.026848368,0.489274204,0.099319264,0.378392994,0.136167467,0.482040167,0.275430679,0.469059229,0.429522872,0.518489778,0.367842734,0.456978083,0.38483566,0.516862035,0.578602731,0.527330816,0.796778381
0.404374003,-0.033493601,0.489805698,0.097415373,0.379667044,0.130189911,0.478524953,0.268313527,0.451942354,0.423667103,0.515742838,0.374394,0.450437516,0.387499094,0.517156422,0.586450219,0.524965465,0.802516282
0.406609684,-0.031324208,0.489911884,0.094060056,0.380857736,0.126319855,0.475951463,0.26244688,0.440959036,0.419049263,0.512917578,0.376124799,0.449624121,0.38837707,0.516171336,0.588162124,0.524784327,0.805492461
0.417516142,-0.029789377,0.490112871,0.088429421,0.383137941,0.11866568,0.467150211,0.252857447,0.424149215,0.399118245,0.506395459,0.376037002,0.445215285,0.388223767,0.516316891,0.59096396,0.525356591,0.805318713
0.425804615,-0.02637706,0.49199757,0.082453854,0.386435121,0.114487112,0.462625384,0.246309757,0.410494536,0.385850191,0.501231611,0.376379669,0.440441966,0.38712728,0.515706301,0.596367717,0.525813937,0.803782284
0.434221625,-0.0240629,0.494869471,0.08195661,0.389926195,0.109213538,0.458381325,0.23007381,0.387157738,0.357066005,0.501038253,0.376268595,0.438246906,0.384459913,0.512970209,0.596238077,0.525958657,0.804039001
0.432388961,-0.022543397,0.496783972,0.081997842,0.398367375,0.109373301,0.445238411,0.210969597,0.362663478,0.31966126,0.500222087,0.37614578,0.440927118,0.383026659,0.51094228,0.594142675,0.524508655,0.806204617
0.426883996,-0.018789126,0.498271912,0.082485311,0.402802438,0.106824785,0.438029915,0.203255907,0.341026634,0.305329055,0.499111533,0.376093954,0.440837264,0.381745249,0.510577977,0.596056461,0.523074687,0.810236812
0.425306648,-0.020009801,0.50075829,0.080739863,0.403689861,0.104475796,0.432168663,0.197441995,0.328486562,0.28873691,0.500213027,0.376240641,0.441252142,0.381772548,0.511512697,0.604048669,0.523579061,0.810316503
0.425242007,-0.019927472,0.501769423,0.077627145,0.405053198,0.097254597,0.417612612,0.193823889,0.318451107,0.262330562,0.499845564,0.376186401,0.440047115,0.380537927,0.511935592,0.605380535,0.523898602,0.80939883
0.426929623,-0.022045322,0.502800286,0.074483499,0.40513137,0.095627896,0.418503851,0.187030002,0.316122442,0.25091669,0.500330687,0.375897735,0.440377593,0.37972343,0.512294948,0.604343534,0.5244596,0.808937609
0.426089317,-0.024427859,0.503932059,0.073368788,0.405153036,0.09388268,0.419653445,0.184058413,0.317276031,0.245283991,0.501116395,0.373971671,0.441089213,0.377780557,0.513153315,0.603778064,0.524884641,0.808596671
0.418706179,-0.023768885,0.503393054,0.072850175,0.404976457,0.096260771,0.421447098,0.189529866,0.319356114,0.254254609,0.501447737,0.371807694,0.445413768,0.376002938,0.516553819,0.60316807,0.524978697,0.808238685
0.41596964,-0.022352425,0.502665102,0.073495574,0.404758006,0.097568199,0.425737768,0.19250679,0.321856201,0.266109496,0.503028512,0.36993143,0.44875747,0.374393523,0.520984769,0.603060007,0.525067925,0.807974994
