nose_x,nose_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,right_elbow_x,right_elbow_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,right_knee_x,right_knee_y,right_ankle_x,right_ankle_y
0.592591882,0.621620059,0.523378968,0.56382513,0.520130515,0.587313235,0.512506127,0.72250104,0.52662468,0.850475252,0.350713581,0.600187957,0.344707429,0.621194303,0.246214688,0.710971534,0.117368467,0.753619313
0.591961086,0.622334421,0.521641791,0.564720333,0.520083368,0.587338567,0.5127334,0.722988546,0.526918948,0.85056448,0.348761767,0.599468887,0.34315607,0.620594621,0.244231716,0.711454809,0.117356054,0.75343883
0.59089011,0.622016966,0.520782828,0.565468132,0.519622147,0.587491989,0.512844265,0.723479807,0.527148843,0.850645244,0.348254621,0.597633898,0.341774881,0.618396223,0.24320896,0.711449385,0.117348969,0.752474129
0.590102315,0.62101382,0.518792987,0.565453947,0.518307805,0.587762177,0.513358772,0.725458503,0.527576387,0.850710034,0.346514344,0.595380485,0.339403212,0.616158247,0.241384998,0.711256981,0.117098734,0.751613915
0.589732468,0.620060921,0.516857982,0.565294564,0.517398775,0.587918162,0.513457417,0.72729069,0.528397739,0.850743175,0.344336808,0.592397451,0.336780071,0.614073217,0.239762321,0.709475398,0.11689236,0.751195252
0.588699698,0.619456053,0.515992284,0.565268517,0.516707778,0.588079989,0.513392866,0.727879047,0.529421031,0.850789547,0.341830224,0.590970159,0.334799767,0.612989724,0.238462508,0.708118081,0.11635337,0.75162077
0.588090479,0.619188368,0.515648127,0.565365791,0.516424298,0.588097513,0.513392627,0.727661431,0.529760301,0.85083127,0.340671629,0.589426339,0.334731817,0.611719072,0.237565577,0.70784831,0.11566411,0.752638102
0.588041008,0.618919253,0.515668213,0.565494061,0.516395152,0.5883708,0.513196528,0.727334321,0.52996546,0.850759447,0.340805888,0.588598788,0.334998667,0.611117482,0.237758711,0.707879722,0.115617625,0.754737139
0.588001907,0.618745983,0.515508413,0.565586865,0.516022623,0.588396668,0.512874663,0.72598362,0.529976785,0.850547254,0.339773536,0.588878453,0.334854096,0.611153305,0.237819612,0.707841396,0.11562527,0.755656838
0.588432252,0.61579448,0.515713215,0.56561029,0.515298963,0.587350547,0.512755334,0.722557724,0.530426621,0.845681965,0.34018141,0.589257598,0.335037112,0.611518204,0.23788324,0.705638349,0.11562974,0.756037295
0.588894546,0.613669336,0.515786707,0.565604806,0.514971972,0.585897446,0.51267606,0.72084254,0.531669796,0.842267036,0.340455741,0.589476466,0.335123658,0.611717582,0.237969682,0.704240143,0.115628876,0.756245375
0.589373469,0.613015294,0.515951097,0.565538585,0.515071511,0.585820198,0.512840867,0.720453143,0.534135461,0.842926085,0.340884089,0.58951062,0.335264802,0.612152338,0.238006681,0.70340538,0.115658835,0.756225884
0.59235698,0.612338245,0.517089367,0.56553334,0.515582621,0.585641861,0.513258696,0.719938338,0.53533262,0.843282938,0.341798455,0.590043545,0.335885644,0.612507224,0.238067433,0.703554869,0.115677506,0.756311834
0.598198891,0.611463606,0.519007862,0.565627515,0.516795158,0.585635006,0.514989734,0.719275236,0.536576331,0.843464017,0.346349835,0.593502581,0.339268744,0.615484834,0.241846606,0.703718424,0.118508138,0.75605166
0.599646747,0.610985816,0.52240181,0.566165209,0.517248988,0.585503995,0.516010165,0.718519747,0.537672579,0.844445825,0.349814534,0.596709192,0.341592222,0.617832959,0.244800672,0.70425719,0.121496603,0.753090799
0.603725255,0.607203305,0.525599897,0.566677511,0.519323945,0.585331678,0.518754721,0.716578841,0.538844287,0.845760822,0.351655304,0.60086453,0.342517912,0.620463312,0.245372295,0.704321206,0.123487383,0.749606311
0.606283903,0.603882015,0.52733314,0.567066669,0.520929694,0.585347354,0.520115852,0.71603334,0.539422393,0.846599936,0.35236612,0.602421403,0.343128145,0.622373641,0.245307371,0.704373717,0.123003781,0.749439597
0.605795741,0.601869345,0.52758646,0.567530632,0.521418154,0.585324645,0.52102828,0.714192688,0.539995849,0.846848965,0.352169693,0.60356313,0.344041139,0.623586595,0.245698988,0.705451846,0.124584667,0.748502851
0.605696619,0.599276304,0.527503073,0.567941666,0.522307873,0.585331976,0.521871209,0.713248789,0.540630043,0.847589016,0.351874292,0.604219496,0.344337761,0.624598324,0.24555324,0.707975328,0.124201246,0.748686433
0.605490327,0.598483622,0.527175665,0.567669213,0.522331059,0.585753143,0.522408545,0.713310778,0.541042507,0.848592043,0.351766288,0.604609728,0.344584435,0.625833452,0.245435253,0.710943937,0.12390209,0.748815417
0.605345964,0.598336697,0.527049005,0.567708969,0.522297323,0.585984886,0.522694767,0.714248478,0.541267335,0.849331319,0.351902783,0.604921162,0.345112324,0.626850426,0.245388001,0.714044333,0.123317868,0.749398828
0.605566323,0.59827745,0.526883125,0.567833602,0.522518635,0.586285293,0.52292645,0.716207087,0.541262567,0.849786222,0.352092892,0.604957163,0.345557302,0.627177477,0.245376527,0.716320097,0.123170152,0.749817312
0.605583727,0.598529279,0.526460946,0.567689657,0.522482157,0.586771488,0.523137152,0.71718365,0.541337967,0.850258887,0.35176605,0.605240166,0.345455498,0.627632797,0.24534972,0.716411352,0.122352615,0.750713408
0.605482996,0.598680258,0.526216149,0.56761539,0.522459924,0.587066233,0.523095071,0.717992187,0.541358054,0.850565016,0.351720273,0.605194449,0.345387876,0.627564192,0.245391816,0.716200829,0.121842243,0.750887394
