nose_x,nose_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,right_elbow_x,right_elbow_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,right_knee_x,right_knee_y,right_ankle_x,right_ankle_y
0.735008419,0.381486714,0.639029622,0.37620905,0.646943271,0.379418671,0.639554441,0.564612448,0.648624122,0.740713358,0.460657328,0.425422758,0.456402361,0.42724359,0.331717193,0.550221026,0.190082312,0.636282384
0.736055613,0.380730957,0.638987064,0.376744777,0.646481395,0.378621876,0.638401806,0.563674927,0.648970187,0.741289198,0.461748004,0.425796658,0.458012521,0.427210152,0.330031157,0.550610185,0.187807322,0.635801375
0.73837471,0.380002469,0.641369104,0.379142314,0.646607816,0.378627896,0.639939487,0.56328702,0.651283562,0.741528451,0.464234829,0.427217126,0.459849596,0.428292096,0.330148786,0.551713943,0.188416392,0.6361866
0.739571214,0.379472017,0.640589714,0.375039667,0.648555338,0.379405618,0.63976264,0.563462853,0.650888681,0.742860794,0.463394374,0.426740378,0.460069746,0.428426772,0.330950886,0.555752397,0.189254776,0.637620568
0.739950299,0.379793555,0.640962243,0.372446597,0.64910239,0.379358023,0.639535308,0.563121796,0.649769068,0.743337035,0.463880688,0.424476326,0.46043694,0.428000629,0.331395894,0.556503475,0.189687103,0.638618171
0.739911795,0.381076097,0.640283823,0.372251123,0.650182009,0.382190585,0.639927208,0.564605772,0.653220713,0.743495464,0.463817865,0.42494607,0.462008536,0.42980957,0.330886006,0.556918263,0.188555121,0.638919473
0.738259554,0.383682102,0.639523685,0.372273982,0.650409102,0.384684026,0.640930414,0.56683892,0.653692186,0.744779885,0.464790046,0.426100224,0.465139627,0.431483388,0.331664294,0.557168841,0.188840985,0.639253855
0.736633003,0.383373797,0.638533831,0.371706635,0.64985466,0.387238324,0.641241074,0.569039047,0.653347731,0.745228469,0.464748412,0.428489894,0.465245008,0.437483847,0.330877423,0.561273456,0.188441649,0.643484652
0.736397088,0.383640647,0.637836039,0.369818807,0.649603963,0.386133045,0.640545666,0.568681359,0.654485643,0.744840026,0.464518458,0.427633107,0.464122295,0.436051786,0.330759555,0.559756756,0.188024968,0.642339647
0.735141873,0.383269906,0.637669802,0.36998421,0.64911902,0.386217773,0.640528083,0.569162905,0.654099643,0.744794309,0.466164112,0.428472728,0.466515511,0.436558574,0.330666274,0.560111701,0.187279448,0.643303514
0.733835638,0.383388221,0.637583733,0.369876832,0.648879051,0.387100309,0.641857922,0.569850504,0.655239701,0.745539606,0.466657192,0.427799612,0.466991633,0.436435461,0.331268281,0.562169254,0.187303126,0.646191239
0.733779848,0.383674741,0.637210488,0.370229304,0.649350107,0.387733668,0.642057121,0.570154965,0.656960309,0.745498598,0.465767175,0.428043038,0.467352182,0.436645389,0.331642061,0.56207186,0.187364131,0.645078897
0.73311007,0.385427594,0.636626422,0.370509624,0.649634182,0.388462543,0.641459465,0.570465863,0.656145811,0.745140791,0.466092467,0.429325968,0.467935443,0.438571066,0.331573308,0.562129796,0.187248975,0.644223034
0.732234478,0.387531191,0.636021197,0.373526305,0.650386751,0.390629828,0.641794205,0.572238505,0.657988727,0.745156944,0.466682345,0.434765518,0.468933374,0.443431854,0.330785781,0.562533975,0.187183186,0.643850267
0.731986105,0.388506234,0.63533777,0.37433207,0.650537014,0.392557859,0.6416381,0.573592365,0.658641279,0.744867265,0.464995265,0.43439576,0.466963887,0.443085551,0.329940587,0.562636554,0.187163606,0.645095825
0.731499255,0.392151058,0.635205984,0.376514137,0.649899602,0.393595248,0.641243398,0.575258553,0.657217324,0.745293915,0.4649885,0.435995579,0.466828108,0.442741036,0.329829812,0.562307835,0.1871005,0.644811213
0.73119092,0.392268211,0.635196447,0.37551564,0.651089191,0.394080371,0.641069293,0.574997604,0.656608284,0.7451092,0.464985102,0.434795231,0.467269808,0.442675889,0.329245925,0.561553419,0.186795294,0.644642532
0.731237113,0.393092781,0.635066807,0.37534675,0.651159406,0.393921316,0.640236378,0.574758053,0.653949142,0.745083809,0.465693533,0.435857683,0.467961609,0.443523973,0.328661948,0.561480522,0.18664661,0.644497931
0.731175184,0.393164217,0.63520509,0.375395805,0.650384843,0.393778443,0.639509439,0.57476145,0.653907537,0.745072961,0.465754807,0.437902242,0.467669517,0.444150954,0.328090936,0.561101496,0.186567754,0.644024372
0.731200337,0.392976761,0.635082483,0.37515226,0.649592817,0.393618017,0.639621437,0.574840367,0.654340386,0.745168149,0.465746701,0.437405437,0.467448056,0.443158418,0.328058362,0.55942291,0.186542064,0.643929362
0.731326818,0.392791629,0.635088503,0.375043929,0.649649858,0.393681109,0.639746428,0.574876845,0.654721916,0.745352745,0.465910703,0.438084662,0.467541337,0.443727911,0.32820785,0.559503019,0.186685145,0.643512905
0.731615663,0.392030329,0.635127306,0.375115454,0.649642348,0.393698096,0.63959682,0.574976325,0.654680252,0.745356202,0.466233194,0.438124061,0.467816412,0.443915308,0.328529805,0.559533417,0.187185228,0.64360857
0.731651485,0.392029613,0.635824144,0.375178069,0.64892447,0.393576801,0.639160097,0.575060308,0.654581487,0.745356143,0.466543317,0.438570738,0.467668116,0.443985909,0.328498095,0.559605062,0.187151819,0.643611133
0.731652856,0.391891778,0.636263609,0.37517789,0.648412228,0.393225759,0.639149904,0.575052738,0.654303968,0.74534142,0.466721892,0.438953429,0.46756056,0.443996489,0.328482479,0.559724927,0.187153563,0.643615901
0.731662035,0.391851753,0.636286855,0.37520203,0.647954583,0.392632276,0.639144659,0.574641407,0.654280901,0.745267987,0.467107892,0.439125806,0.467556983,0.444091976,0.328403294,0.560101509,0.187039316,0.643915594
0.731655478,0.391414046,0.636247158,0.374148399,0.648128986,0.392501205,0.639358282,0.574828207,0.65461129,0.745263577,0.467011005,0.439549595,0.467413992,0.445785969,0.328113943,0.561176956,0.187011167,0.643891275
0.731581569,0.389599711,0.636282325,0.373487234,0.648045003,0.392275035,0.639721274,0.574914873,0.656305015,0.745206356,0.466671318,0.440808684,0.466109544,0.447424948,0.326766789,0.562874198,0.186468184,0.644130409
0.731326699,0.387539148,0.636317074,0.371831059,0.646870673,0.391134888,0.639745176,0.574221432,0.656247735,0.744764805,0.466116518,0.440315455,0.464458734,0.447408289,0.325768948,0.562921584,0.185847938,0.643330812
0.731792331,0.38498956,0.636944294,0.371656001,0.6462394,0.390150309,0.639748037,0.573601067,0.656280458,0.744302571,0.46568504,0.440384567,0.463020504,0.447408587,0.324909985,0.562933087,0.185382724,0.643435955
0.732052088,0.383582115,0.637776732,0.371693045,0.646054447,0.389990985,0.638899088,0.573781073,0.656450272,0.74416846,0.465550274,0.440539658,0.462076724,0.447873414,0.324292958,0.563072503,0.184974745,0.643594205
0.731469989,0.384008408,0.638509214,0.371061862,0.645954072,0.389582872,0.638358414,0.574037433,0.656780303,0.74424988,0.464423627,0.439842135,0.459987849,0.447936356,0.32296294,0.563443303,0.184390366,0.643897295
0.729513347,0.384325355,0.640018106,0.371410251,0.648095369,0.388342291,0.63810724,0.575075388,0.657052577,0.744797111,0.464270115,0.437930822,0.459174514,0.447407603,0.322922528,0.56442523,0.184155762,0.644486666
0.728711247,0.384747356,0.640708029,0.371717364,0.648450017,0.387904435,0.638039172,0.575171947,0.656611145,0.745039523,0.464441627,0.436611205,0.459305078,0.447059929,0.323031813,0.565722048,0.183787152,0.645617425
0.728469551,0.384926319,0.640743375,0.371760637,0.648950577,0.384279042,0.638689041,0.572929263,0.654502153,0.745274723,0.464436889,0.433727264,0.460214913,0.442697287,0.3235811,0.564520895,0.183907643,0.645440161
0.726802349,0.384321541,0.640988946,0.369204432,0.649127185,0.384199053,0.638554335,0.572756231,0.652528942,0.745556056,0.463496953,0.426022083,0.45898208,0.440567464,0.322994828,0.564304531,0.18349652,0.646229684
0.724733114,0.381917804,0.641992748,0.36616078,0.649502397,0.381798387,0.639040649,0.571648061,0.651501775,0.744733393,0.464131504,0.419136792,0.459407091,0.435132414,0.323592663,0.562915087,0.18370375,0.646993876
0.722854614,0.381538779,0.64238584,0.365593284,0.648358703,0.381965607,0.638941348,0.572107673,0.651948452,0.744465411,0.46574679,0.419457942,0.459698647,0.436345249,0.325927705,0.563678801,0.184623644,0.647487044
0.723060489,0.381372958,0.642461061,0.366386741,0.648275733,0.382099956,0.640724599,0.572120249,0.652116239,0.744130015,0.465720952,0.419564307,0.459716409,0.434433699,0.326590508,0.563591361,0.184933499,0.646266162
0.723198652,0.381708831,0.642475724,0.367136002,0.648338616,0.382317781,0.640690088,0.572299957,0.652638972,0.743921995,0.465721428,0.419500917,0.459735006,0.434176475,0.327433646,0.563634992,0.185246915,0.642535985
0.720982134,0.382433623,0.642876804,0.367555082,0.648300469,0.383680373,0.640724063,0.573139489,0.65266788,0.74393034,0.465737998,0.419783682,0.459768236,0.434222698,0.328003079,0.564127803,0.185579285,0.642511427
0.720977604,0.384410292,0.644260824,0.370088845,0.648162067,0.383973032,0.640851796,0.573078692,0.652926326,0.743913591,0.467441052,0.420003086,0.461072266,0.434256136,0.329664171,0.564089835,0.1865464,0.642334998
0.720840335,0.38843587,0.644339204,0.37364018,0.647987008,0.384947598,0.641977668,0.573132813,0.653333843,0.744314492,0.468015283,0.421775937,0.461468339,0.434651613,0.329266667,0.564376593,0.186335281,0.642130792
0.720882714,0.391208172,0.644433439,0.374395937,0.647862971,0.38526234,0.642697394,0.573117673,0.653339088,0.744404733,0.468121827,0.422248274,0.461530626,0.434752882,0.329251528,0.564994872,0.185796261,0.642836452
0.721383333,0.392030865,0.644435942,0.373920858,0.648259163,0.385540426,0.642662942,0.572848797,0.653535783,0.743774712,0.468047857,0.423048496,0.461809874,0.436293185,0.329255193,0.566497087,0.185786292,0.642907858
0.721629739,0.392545015,0.645343423,0.373540312,0.648394167,0.386562318,0.641999364,0.573267698,0.653374016,0.743805528,0.469104052,0.424628258,0.462504029,0.439303875,0.32937935,0.569090366,0.186002225,0.645442367
0.722323537,0.392921984,0.645604908,0.373860329,0.648918748,0.386524022,0.642019153,0.573047817,0.653459489,0.743794024,0.468966454,0.424389124,0.462627113,0.438593566,0.329318851,0.569024801,0.185811147,0.645721078
0.723098099,0.393202037,0.645836651,0.374653101,0.649574757,0.38656503,0.64194268,0.573041856,0.65369451,0.743779123,0.469019383,0.425996095,0.462785631,0.439206183,0.32935378,0.570001423,0.185860962,0.649671197
0.724011779,0.393497676,0.646490574,0.374725193,0.650275826,0.386550605,0.641997457,0.572849929,0.653807223,0.743612945,0.469037026,0.426058322,0.462795436,0.439025909,0.32919535,0.569717705,0.185746059,0.64880085
0.724472582,0.393854558,0.646992087,0.374950469,0.650489748,0.386723876,0.641999424,0.572874129,0.653990149,0.743618309,0.469139457,0.426471353,0.46285525,0.439082056,0.329122514,0.569702446,0.185722157,0.648519099
0.724615157,0.394489676,0.64702791,0.37514022,0.650540054,0.386775047,0.642151773,0.572870791,0.654267311,0.743724048,0.469198942,0.426478654,0.462978423,0.43896389,0.328965068,0.569410563,0.185690314,0.648331702
0.724635422,0.395574659,0.647087038,0.375223994,0.650549173,0.386884272,0.642201006,0.572999835,0.65440619,0.743784487,0.469396532,0.426268101,0.463103473,0.439013243,0.328957766,0.569222867,0.185690105,0.64806354
0.725217998,0.396636993,0.647446454,0.375236064,0.650812268,0.387798846,0.642165422,0.573362648,0.654999912,0.743778825,0.469953805,0.426042914,0.463351905,0.439197242,0.32897079,0.569062173,0.186085522,0.648022115
0.725710869,0.397836328,0.647723436,0.375260264,0.65096277,0.387983143,0.642077744,0.573815584,0.6552369,0.743730664,0.470006287,0.426693082,0.463342369,0.439866155,0.328840345,0.569064736,0.186095029,0.64807117
0.726436734,0.398227781,0.648297489,0.375156045,0.651265025,0.389181793,0.642080307,0.574733615,0.65539974,0.744012475,0.470012605,0.427000821,0.463283509,0.441759616,0.328812748,0.570465982,0.186637729,0.649638712
0.728230834,0.39829275,0.648460269,0.37523061,0.652222574,0.389262348,0.642114699,0.574693382,0.655640066,0.743963301,0.470696032,0.427035213,0.464222938,0.441922754,0.329363674,0.570449233,0.186897352,0.649537325
0.730069041,0.398592681,0.64895159,0.375291765,0.653350174,0.3913638,0.64208746,0.576165199,0.657248557,0.743881583,0.470680982,0.427009195,0.464159489,0.442401171,0.329384595,0.571816146,0.187531158,0.652197957
0.733332932,0.398829579,0.649288058,0.376668215,0.655049562,0.390702456,0.642020404,0.575912118,0.657901704,0.743489802,0.470883429,0.427548021,0.464794517,0.441923201,0.329530686,0.571454287,0.187911808,0.652716875
0.734746397,0.398849308,0.64974016,0.377556652,0.655519903,0.390424222,0.641190112,0.57581383,0.657896399,0.742913365,0.470935583,0.429168731,0.464762807,0.441922098,0.329117358,0.571414173,0.187900245,0.652974546
