nose_x,nose_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0.494543999,0.095814608,0.432946414,0.195105463,0.556994259,0.207623854,0.41377306,0.335471243,0.576650321,0.350446522,0.387993544,0.455825925,0.585921824,0.469282836,0.455785334,0.469537973,0.529708385,0.475904256,0.434738368,0.644386828,0.545766592,0.649369419,0.41026634,0.837421954,0.558863938,0.83428818
0.494300395,0.095585018,0.432771832,0.195067748,0.55680275,0.207557008,0.413737327,0.33541739,0.576608777,0.350207269,0.388129056,0.455510944,0.585571408,0.46937871,0.455666423,0.469287962,0.52955687,0.475557208,0.434682548,0.644157648,0.545788288,0.649249852,0.410055995,0.837398171,0.559092522,0.834782541
0.493872643,0.095439345,0.432569265,0.195014969,0.556488514,0.207493067,0.413634956,0.335331738,0.575467765,0.350039065,0.388595283,0.455441684,0.584728062,0.468907297,0.455492109,0.469266832,0.529203534,0.475666583,0.43446511,0.643860936,0.545465708,0.649529755,0.410499781,0.838996649,0.558758497,0.835098147
0.491795897,0.094776161,0.429786652,0.194988653,0.55532676,0.206111878,0.410877287,0.336244255,0.572978854,0.349655449,0.38846302,0.455427557,0.58401227,0.469011158,0.45187971,0.469231009,0.525948703,0.475635648,0.435238302,0.643779874,0.545087039,0.649157703,0.415792584,0.838630915,0.558332324,0.834322572
0.490528762,0.093586862,0.425127357,0.194991067,0.55231154,0.20541358,0.405549616,0.336690724,0.56882298,0.349623531,0.38636893,0.455389351,0.581175029,0.469057977,0.446816295,0.46941179,0.521182835,0.475647718,0.435220063,0.643901467,0.54325664,0.648026168,0.418028414,0.838889718,0.557871759,0.831467509
0.487332344,0.09304262,0.420385748,0.195027649,0.548502207,0.20451428,0.399658471,0.337603003,0.565732419,0.349177808,0.383278161,0.455475956,0.580219984,0.468809992,0.442129701,0.469147712,0.516911626,0.47460258,0.435041279,0.64295119,0.541623116,0.647376597,0.420984417,0.838443696,0.556490362,0.831301272
0.483206242,0.092791654,0.416484326,0.194847107,0.544068158,0.204047054,0.397717446,0.337521553,0.562494814,0.348855644,0.381045491,0.454912633,0.580362737,0.46697852,0.439557821,0.468619019,0.514986336,0.47321251,0.432667464,0.642077446,0.540879846,0.646240175,0.42367807,0.837207377,0.55603379,0.828349113
0.477228642,0.092201672,0.408575863,0.194921002,0.536965311,0.201992556,0.389140993,0.33772248,0.555915415,0.346035779,0.373861402,0.454272956,0.578982651,0.463645577,0.432942808,0.467683405,0.508665025,0.470387042,0.429651797,0.640540838,0.537091434,0.644165576,0.423170418,0.835216939,0.5537135,0.826238871
0.477232903,0.092419401,0.406649947,0.195110306,0.535148561,0.202479661,0.386770993,0.337952584,0.554472268,0.34724316,0.368827045,0.454633057,0.577899158,0.463020146,0.429053694,0.466388553,0.505109489,0.469260573,0.426398277,0.639503121,0.535337567,0.642234921,0.423350602,0.834539771,0.553626835,0.824066818
0.475883156,0.092489004,0.40473479,0.195216104,0.532566667,0.202483445,0.384717107,0.338911086,0.549859881,0.347496271,0.36527431,0.455077082,0.574827373,0.461499393,0.427422017,0.466179311,0.503131986,0.469435275,0.425030768,0.639155865,0.533281982,0.64195472,0.421680033,0.83439976,0.551301956,0.823986351
0.475311488,0.093223102,0.403399318,0.195408612,0.532335818,0.202801928,0.381922483,0.338299751,0.551240444,0.348387808,0.362055779,0.454019785,0.574102402,0.460662425,0.426583081,0.467037857,0.502653122,0.470237255,0.4236224,0.641266286,0.531402171,0.642280459,0.42132774,0.835992754,0.548675954,0.823342204
0.474741459,0.093537286,0.402873725,0.195398867,0.531983316,0.203108087,0.382294863,0.337070853,0.552123606,0.349009842,0.358929157,0.453563511,0.573493183,0.458977789,0.427894384,0.466835827,0.503754497,0.470596015,0.423816651,0.642349184,0.529119313,0.642356336,0.421010494,0.836704612,0.545038462,0.824971259
